filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
All Pools,AUSD - USDC,0.01,True,16126763.0,3835277.0,1612.68,15.93,1769560220
All Pools,AUSD - USDt,0.01,True,12548185.0,2830941.0,1254.96,16.96,1769560220
All Pools,USDt - USDC,0.005,True,3602160.0,1981458.0,252.54,9.23,1769560220
All Pools,AVAX - USDC,0.05,True,1987360.0,698032.0,1058.79,138.21,1769560220
All Pools,EURC - USDC,0.03,True,756148.0,105491.0,244.99,181.91,1769560220
All Pools,XAUt0 - USDt,0.04,True,689733.0,253612.0,289.87,167.67,1769560220
All Pools,savUSD - avUSD,0.02,True,517940.0,573343.0,103.71,14.36,1769560220
All Pools,AVAX - BTC.b,0.05,True,495336.0,803366.0,257.3,339.32,1769560220
All Pools,sAVAX - AVAX,0.01,True,455285.0,516589.0,45.55,8.51,1769560220
All Pools,BTC.b - USDC,0.05,False,450219.0,881584.0,230.23,9.53,1769560220
All Pools,EUROP - USDC,0.1,False,328888.0,1723058.0,329.38,6.98,1769560220
All Pools,AUSD - AVAX,0.1,True,237219.0,121977.0,241.12,425.1,1769560220
All Pools,GUN - AVAX,0.25,False,171746.0,405968.0,446.1,40.11,1769560220
All Pools,SIERRA - USDC,0.1,True,91550.0,3118883.0,92.05,8.5,1769560220
All Pools,USDt - USDC,0.01,False,75561.0,222584.0,6.071,1.0,1769560220
All Pools,JPYC - USDC,0.04,True,60671.0,65761.0,24.65,80.92,1769560220
All Pools,ARENA - AVAX,0.01,False,56541.0,250387.0,5.651,0.82,1769560220
All Pools,COQ - AVAX,0.3,False,55239.0,739444.0,138.1,6.82,1769560220
All Pools,XSGD - USDC,0.05,True,47980.0,38836.0,27.4,53.75,1769560220
All Pools,FOLKS - AVAX,0.25,False,41109.0,46726.0,110.47,86.3,1769560220
All Pools,USDT.e - USDC,0.02,False,39123.0,60411.0,8.686,5.25,1769560220
All Pools,BEAM - AVAX,0.25,True,35413.0,31664.0,89.67,259.84,1769560220
All Pools,AVAX - USDt,0.2,False,34418.0,158448.0,69.74,16.06,1769560220
All Pools,AVAX - USDC,0.3,False,24370.0,458299.0,60.92,4.85,1769560220
