filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
Manual (V2),AVAX - USDC,0.05,True,210434495.0,21610739.0,108291.0,188.24,1758102817
Manual (V2),WETH.e - AVAX,0.05,False,38646580.0,8359067.0,19576.0,85.48,1758102817
Manual (V2),AVAX - BTC.b,0.05,True,10624492.0,6167678.0,5567.78,84.85,1758102817
Manual (V2),AUSD - USDt,0.01,True,7439303.0,1645872.0,749.71,36.69,1758102817
Manual (V2),AUSD - USDC,0.01,True,7196904.0,1683820.0,721.97,35.27,1758102817
Manual (V2),USDt - USDC,0.005,True,3369095.0,9545620.0,236.3,9.57,1758102817
Manual (V2),sAVAX - AVAX,0.01,True,2695396.0,16511775.0,272.96,1.68,1758102817
Manual (V2),AUSD - AVAX,0.1,True,1447212.0,456981.0,1477.69,278.07,1758102817
Manual (V2),EURC - USDC,0.03,True,1258421.0,1762353.0,390.47,30.6,1758102817
Manual (V2),USDt - USDC,0.01,False,1159329.0,187199.0,96.84,18.88,1758102817
Manual (V2),BTC.b - USDC,0.05,False,1139753.0,1422922.0,577.44,14.81,1758102817
Manual (V2),WBTC - BTC.b,0.03,True,1069349.0,1281153.0,321.55,17.75,1758102817
Manual (V2),ggAVAX - AVAX,0.04,True,890200.0,9968573.0,90.22,1.98,1758102817
Manual (V2),SOL - AVAX,0.1,False,607532.0,1487740.0,614.54,15.08,1758102817
Manual (V2),YBTC.B - WBTC,0.01,False,539451.0,567760.0,54.49,3.5,1758102817
Manual (V2),EURC - AVAX,0.1,False,441098.0,1589597.0,450.73,10.35,1758102817
Manual (V2),deUSD - USDC,0.01,True,412109.0,267599.0,67.3,17.43,1758102817
Manual (V2),EUROP - USDC,0.1,False,393578.0,1707210.0,401.45,8.58,1758102817
Manual (V2),SolvBTC - BTC.b,0.04,True,293050.0,3964568.0,100.59,12.57,1758102817
Manual (V2),GUN - AVAX,0.25,False,203779.0,653870.0,514.82,28.74,1758102817
Manual (V2),GUN - AVAX,0.1,False,196944.0,82064.0,206.49,91.84,1758102817
Manual (V2),WBTC.e - BTC.b,0.03,False,122103.0,491001.0,36.73,2.73,1758102817
Manual (V2),savUSD - avUSD,0.02,True,121331.0,4396460.0,24.29,7.71,1758102817
Manual (V2),deUSD - AUSD,0.01,True,108191.0,45256.0,12.79,59.86,1758102817
Manual (V2),ARENA - AVAX,0.4,False,98332.0,22905.0,436.92,696.26,1758102817
Manual (V2),AVAX - USDC,0.2,False,75760.0,860402.0,152.66,6.48,1758102817
Manual (V2),XSGD - USDC,0.05,True,63056.0,49924.0,32.29,76.29,1758102817
Manual (V2),AVAX - USDt,0.2,False,38807.0,327958.0,78.31,8.72,1758102817
Manual (V2),WETH.e - AVAX,0.25,False,36377.0,3758530.0,91.38,0.89,1758102817
Manual (V2),USDT.e - USDt,0.02,False,30092.0,46330.0,6.038,4.76,1758102817
Manual (V2),BEAM - AVAX,0.25,True,20567.0,65547.0,51.54,613.2,1758102817
Manual (V2),USDT.e - USDC,0.02,False,18977.0,58408.0,3.831,2.39,1758102817
Manual (V2),USDC.e - USDC,0.02,False,14142.0,25256.0,1.418,2.05,1758102817
Manual (V2),AVAX - avUSD,0.25,True,12744.0,23491.0,32.08,663.31,1758102817
Manual (V2),DAI.e - USDC,0.02,False,11654.0,29469.0,3.515,4.35,1758102817
Manual (V2),DAI.e - USDt,0.25,False,11275.0,23125.0,28.22,44.54,1758102817
Manual (V2),SHRAP - AVAX,0.4,False,11260.0,30631.0,46.68,55.62,1758102817
Manual (V2),XAVA - AVAX,0.8,False,10855.0,523281.0,87.3,6.09,1758102817
Manual (V2),USDC - MXNB,0.04,False,7947.21,49304.0,9.177,6.79,1758102817
Manual (V2),GHO - USDC,0.1,False,7081.29,1350428.0,7.107,0.19,1758102817
