filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
All Pools,BPAY - AVAX,0.4,False,38694394.0,3308963312439.0,309865.0,0.0,1765672159
All Pools,AVAX - USDC,0.05,True,913315.0,8681450.0,468.07,97.78,1765672159
All Pools,sAVAX - AVAX,0.01,True,574075.0,453332.0,58.41,11.33,1765672159
All Pools,YBTC.B - WBTC,0.01,False,509003.0,451832.0,51.07,4.13,1765672159
All Pools,USDt - USDC,0.005,True,417830.0,2371564.0,29.26,4.64,1765672159
All Pools,AVAX - BTC.b,0.05,True,333434.0,960068.0,170.69,270.6,1765672159
All Pools,GUN - AVAX,0.25,False,252225.0,342383.0,678.41,72.32,1765672159
All Pools,EURC - AVAX,0.1,False,178980.0,1061277.0,180.33,6.2,1765672159
All Pools,XAUt0 - USDt,0.04,True,147641.0,410366.0,59.52,41.68,1765672159
All Pools,GUN - AVAX,0.1,False,145483.0,53577.0,175.74,119.73,1765672159
All Pools,sUSDe - USDC,0.1,True,135878.0,2094744.0,136.03,9.38,1765672159
All Pools,AUSD - AVAX,0.1,True,132808.0,128317.0,134.25,315.29,1765672159
All Pools,EURC - USDC,0.03,True,131926.0,1705119.0,39.77,13.7,1765672159
All Pools,AUSD - USDC,0.01,True,112035.0,1482574.0,11.2,1.93,1765672159
All Pools,SolvBTC - BTC.b,0.04,True,109279.0,477935.0,40.57,39.0,1765672159
All Pools,WETH.e - AVAX,0.25,False,84120.0,1359981.0,210.95,5.66,1765672159
All Pools,COQ - AVAX,0.01,False,83303.0,769783.0,8.33,0.39,1765672159
All Pools,ggAVAX - AVAX,0.04,True,63072.0,228351.0,6.308,13.96,1765672159
All Pools,COQ - AVAX,0.3,False,61257.0,969732.0,153.14,5.76,1765672159
All Pools,savUSD - avUSD,0.02,True,57116.0,4667392.0,11.42,1.66,1765672159
All Pools,AUSD - USDt,0.01,True,51868.0,458166.0,5.185,5.8,1765672159
All Pools,ARENA - AVAX,0.01,False,43630.0,917173.0,4.362,0.17,1765672159
All Pools,BTC.b - USDC,0.05,False,35323.0,901065.0,17.92,0.73,1765672159
All Pools,USDt - USDC,0.01,False,31064.0,222527.0,2.517,0.41,1765672159
All Pools,JOE - AVAX,0.3,False,24954.0,769546.0,62.38,2.96,1765672159
All Pools,NXPC - AVAX,0.3,False,23200.0,354920.0,58.0,5.96,1765672159
All Pools,DAI.e - USDC,0.02,False,22320.0,28103.0,5.767,7.49,1765672159
All Pools,AAVE.e - AVAX,0.3,False,14948.0,520995.0,37.37,2.62,1765672159
All Pools,AVAX - USDC,0.2,False,14045.0,432104.0,28.32,2.39,1765672159
All Pools,AVAX - USDC,0.3,False,13858.0,484926.0,34.65,2.61,1765672159
All Pools,AVAX - USDt,0.2,False,13524.0,169223.0,29.88,6.44,1765672159
All Pools,JOE - AVAX,0.15,False,12637.0,113549.0,19.58,6.29,1765672159
All Pools,MiniDoge - AVAX,0.3,False,12076.0,10524.0,30.19,104.71,1765672159
All Pools,ALOT - AVAX,0.3,False,10743.0,417463.0,26.86,2.35,1765672159
All Pools,ORNG - AVAX,0.3,False,10504.0,43004.0,26.26,22.29,1765672159
All Pools,GMX - AVAX,0.3,False,10151.0,1216875.0,25.38,0.76,1765672159
All Pools,AVAX - USDT.e,0.3,False,9728.48,657871.0,24.32,1.35,1765672159
All Pools,JOE - USDC.e,0.3,False,9648.36,400109.0,24.12,2.2,1765672159
All Pools,MIM - AVAX,0.3,False,9301.69,672391.0,23.25,1.26,1765672159
All Pools,USDC.e - AVAX,0.3,False,9266.71,511783.0,23.17,1.65,1765672159
All Pools,AVAX - KRW1,0.3,False,9113.19,9872.69,22.78,84.23,1765672159
All Pools,USDT.e - USDC,0.02,False,9009.77,60262.0,1.836,1.11,1765672159
All Pools,AVAX - avUSD,0.25,True,8906.78,5663.07,23.09,2945.33,1765672159
All Pools,SHRAP - AVAX,0.4,False,8772.3,24573.0,41.7,61.94,1765672159
All Pools,WETH.e - AVAX,0.3,False,8093.91,688520.0,20.23,1.07,1765672159
All Pools,BTC.b - AVAX,0.3,False,7960.73,181598.0,19.9,4.0,1765672159
All Pools,SOL - AVAX,0.3,False,7022.74,653918.0,17.56,0.98,1765672159
All Pools,QI - AVAX,0.3,False,6774.33,411563.0,16.94,1.5,1765672159
All Pools,AVAX - JUICY,0.3,False,6551.19,8510.31,16.38,70.24,1765672159
All Pools,LEMO - AVAX,0.3,False,5761.72,8005.66,14.4,65.67,1765672159
All Pools,BOI - AVAX,0.3,False,5396.68,27382.0,13.49,17.98,1765672159
All Pools,w3ULL - AVAX,0.3,False,4510.01,111246.0,11.28,3.7,1765672159
All Pools,USDC.e - USDC,0.02,False,4322.83,25685.0,0.43899,0.62,1765672159
All Pools,USDC - XAVA,0.3,False,4301.35,380873.0,10.75,1.03,1765672159
All Pools,AVAX - JUICE,0.3,False,4030.28,23864.0,10.08,15.41,1765672159
All Pools,AVAX - ALVA,0.3,False,3998.07,34587.0,9.995,10.55,1765672159
All Pools,XSGD - USDC,0.05,True,3905.52,57757.0,2.078,19.89,1765672159
All Pools,KET - AVAX,0.01,False,3563.52,231281.0,0.35637,0.06,1765672159
All Pools,KIMBO - AVAX,0.3,False,3397.16,118553.0,8.493,2.61,1765672159
All Pools,avax0 - AVAX,0.3,False,3356.69,170.16,8.392,1800.04,1765672159
All Pools,AVAX - USDC,0.2,False,3282.32,18726.0,6.618,12.9,1765672159
All Pools,XAVA - AVAX,0.8,False,2816.33,87921.0,22.83,9.48,1765672159
All Pools,NXUSD - WXT,0.3,False,2749.92,783518.0,6.875,0.32,1765672159
All Pools,WBTC.e - AVAX,0.3,False,2672.84,220123.0,6.682,1.11,1765672159
All Pools,DAI.e - USDC,0.02,False,2575.11,2643.51,0.58516,8.08,1765672159
All Pools,FOLKS - AVAX,0.25,False,2506.83,67652.0,6.393,3.45,1765672159
All Pools,USDC.e - USDC,0.02,False,2481.19,6053.52,0.50248,3.03,1765672159
All Pools,NOCHILL - AVAX,0.3,False,2364.91,143202.0,5.912,1.51,1765672159
All Pools,BEAM - AVAX,0.25,True,2182.41,29850.0,5.47,555.99,1765672159
All Pools,SOL - AVAX,0.1,False,2175.05,11563.0,2.262,7.14,1765672159
All Pools,AVAX - HON,0.3,False,2053.63,109643.0,5.134,1.71,1765672159
All Pools,USDT.e - USDt,0.02,False,2023.43,44169.0,0.41283,0.34,1765672159
All Pools,JOE - USDC,0.3,False,1819.99,48090.0,4.55,3.45,1765672159
All Pools,JOE - USDT.e,0.3,False,1685.35,81567.0,4.213,1.89,1765672159
All Pools,XAUt0 - USDC,0.25,False,1585.71,9284.11,3.993,15.7,1765672159
All Pools,WBTC.e - BTC.b,0.03,False,1449.4,381587.0,0.46837,0.04,1765672159
All Pools,QI - AVAX,0.25,False,1332.47,44081.0,3.342,2.77,1765672159
All Pools,GGP - AVAX,0.3,False,1269.49,269496.0,3.174,0.43,1765672159
All Pools,gOHM - AVAX,0.3,False,1129.9,198419.0,2.825,0.52,1765672159
All Pools,HERESY - AVAX,0.3,False,1117.79,23678.0,2.794,4.31,1765672159
All Pools,USDC.e - USDC,0.02,False,1110.98,2017.92,0.22366,4.05,1765672159
All Pools,AVAX - CLY,0.3,False,1069.83,493988.0,2.675,0.2,1765672159
All Pools,BOB - AVAX,0.3,False,1023.04,1285.74,2.558,72.61,1765672159
All Pools,HUNDRED - USDC,0.3,False,917.59,467734.0,2.294,0.18,1765672159
All Pools,USDt - AVAX,0.3,False,909.05,53464.0,2.273,1.55,1765672159
All Pools,LINK.e - AVAX,0.3,False,833.93,70385.0,2.085,1.08,1765672159
All Pools,YAK - AVAX,0.3,False,779.14,255531.0,1.948,0.28,1765672159
All Pools,OSAK - AVAX,0.3,False,702.46,13338.0,1.756,4.81,1765672159
All Pools,JPYC - USDC,0.04,True,700.45,63895.0,0.28023,62.13,1765672159
